gene	pLI	LOEUF
U2SURP	1	0.077
RBM25	1	0.077
GIGYF2	1	0.077
MBTD1	1	0.077
DCAF5	1	0.078
SUV420H1	1	0.078
RABGAP1	1	0.078
KHSRP	1	0.078
TM9SF2	1	0.079
MATR3	1	0.079
PHF21A	1	0.08
NAV1	1	0.08
HIVEP2	1	0.08
OGT	1	0.08
RBBP6	1	0.08
GTPBP4	1	0.08
MYBL1	1	0.08
TEX11	1	0.08
DYNC1H1	1	0.08
SBNO1	1	0.081
THOC2	1	0.081
PRKCB	1	0.081
INO80	1	0.081
TAF4	1	0.081
FLNA	1	0.082
TRIM28	1	0.082
CHD8	1	0.082
RBM33	1	0.082
SNRNP200	1	0.082
XPO6	1	0.082
SMARCAD1	1	0.083
FRMPD4	1	0.083
MACF1	1	0.084
WAC	1	0.084
BRWD3	1	0.084
C17orf104	1	0.084
ATP2B1	1	0.084
EIF4G2	1	0.085
ZNF462	1	0.085
WDR26	1	0.085
CUL4B	1	0.085
TRIM33	1	0.086
STXBP1	1	0.086
TOPBP1	1	0.086
NF2	1	0.086
TET3	1	0.086
MN1	0.99999	0.087
SUPT6H	1	0.087
RP11-762I7.5	1	0.087
NHS	0.99999	0.087
RPS6KA3	0.99999	0.087
MYT1L	1	0.087
UBP1	0.99999	0.088
PLCL2	0.99999	0.088
SPTBN1	1	0.088
MYH9	1	0.088
ZDHHC5	0.99999	0.088
LUC7L3	0.99999	0.089
COPB2	1	0.089
DNAJC14	0.99999	0.089
RNF17	1	0.089
ANK3	1	0.089
F8	1	0.089
TM9SF3	0.99999	0.09
DLG3	0.99999	0.09
MGA	1	0.09
ANKRD52	1	0.09
STAG2	1	0.09
SATB2	0.99999	0.091
USP34	1	0.091
MAP3K2	0.99999	0.091
PREX1	1	0.091
MED14	1	0.092
CYFIP2	1	0.092
ZNF407	1	0.092
KPNB1	1	0.092
ETV5	0.99999	0.092
CUL2	1	0.093
HNRNPM	0.99999	0.093
PIAS1	0.99999	0.094
DAAM2	1	0.094
EFTUD2	1	0.094
YTHDC1	1	0.094
NCBP1	1	0.094
TCF20	1	0.095
DLL1	0.99999	0.095
UBR4	1	0.095
STAT3	1	0.095
IGF2BP3	0.99999	0.095
NSD1	1	0.095
SRCAP	1	0.096
ZNF777	0.99998	0.096
HNRNPK	0.99998	0.096
SCAF8	1	0.096
ARID2	1	0.096
CCT3	0.99998	0.097
COL5A2	1	0.097
PHC3	1	0.097
GATAD2B	0.99998	0.097
FBXO11	1	0.097
NOTCH1	1	0.097
COL3A1	1	0.098
PPP3CB	0.99998	0.098
ILF3	1	0.098
PLEKHA5	1	0.098
ZNF521	1	0.098
TAB2	0.99998	0.098
CTNND2	1	0.098
DDX5	0.99998	0.098
ACTN4	1	0.099
UPF2	1	0.099
CARM1	0.99998	0.099
PAXIP1	1	0.099
BPTF	1	0.099
EP300	1	0.099
FBXL19	0.99997	0.1
CREBRF	0.99997	0.1
HDAC2	0.99997	0.1
SP1	0.99997	0.1
MAPK8IP2	0.99997	0.1
AP2A1	1	0.101
ARCN1	0.99997	0.101
SPTAN1	1	0.101
RPTOR	1	0.101
CAND1	1	0.101
COPS2	0.99997	0.101
SALL4	0.99997	0.101
CACNA1C	1	0.102
ARID1B	1	0.102
PSMD2	1	0.102
PSMD3	0.99997	0.102
KMT2D	1	0.103
UBAP2L	1	0.103
ZNF148	0.99997	0.103
BTK	0.99996	0.103
RRM1	1	0.103
PPP2R5E	0.99997	0.103
RFX3	1	0.104
BIRC6	1	0.104
LMNB2	0.99996	0.104
CLTC	1	0.104
COPA	1	0.105
COL1A1	1	0.105
DHX15	1	0.105
DHX9	1	0.105
MAP2	1	0.105
ZMYM3	1	0.106
AGO2	1	0.106
ANK2	1	0.106
RALGAPB	1	0.106
IPO7	1	0.106
PRPF19	0.99995	0.106
SCAF4	1	0.106
TBL1XR1	0.99995	0.106
ZCCHC11	1	0.107
ZCCHC6	1	0.107
ANKRD11	1	0.107
PAFAH1B1	0.99995	0.107
ZEB2	1	0.107
AP2A2	1	0.108
SMU1	0.99994	0.108
NAA25	1	0.108
UBA1	1	0.108
BAZ1B	1	0.109
HNRNPH1	0.99993	0.109
VPRBP	1	0.109
CTIF	0.99994	0.109
ABCB7	0.99994	0.109
UTP15	0.99993	0.11
SETBP1	1	0.11
ARID5B	1	0.11
RBM10	1	0.11
TPR	1	0.111
RCOR1	0.99992	0.111
SUFU	0.99992	0.111
TRPS1	1	0.111
MTA1	1	0.111
RUVBL2	0.99992	0.111
EIF4G3	1	0.112
MDM4	0.99992	0.112
NTRK2	1	0.112
ANKHD1	1	0.112
ANKHD1-EIF4EBP3	1	0.112
RORB	0.99991	0.112
TIAL1	0.99992	0.112
NRXN3	1	0.112
PTPRD	1	0.112
WAPAL	1	0.112
RBM26	1	0.112
RIF1	1	0.113
NLK	0.99991	0.113
PHIP	1	0.113
LPHN2	1	0.113
DPYSL5	0.99991	0.113
USP8	1	0.113
TIPARP	0.99991	0.113
ZBTB4	0.99991	0.113
ISY1	0.9999	0.114
HNRNPU	1	0.114
TLK2	1	0.114
TRERF1	1	0.114
DHX30	1	0.115
MYCBP2	1	0.115
FUBP1	1	0.115
TRIM24	1	0.115
ZC3H7A	1	0.115
UBXN7	0.99988	0.116
SLC17A7	0.99988	0.116
NOTCH2	1	0.116
SMARCC1	1	0.116
RAI1	1	0.116
CSE1L	1	0.117
EIF4A1	0.99987	0.117
PIK3CA	1	0.117
KIF5C	1	0.117
REV3L	1	0.117
AGPS	1	0.117
ADAM10	1	0.117
MED1	1	0.117
SMARCC2	1	0.117
MYRF	1	0.117
DOT1L	1	0.118
CHAF1A	1	0.118
PSMD1	1	0.118
SRRM2	1	0.118
PIAS4	0.99986	0.118
ACTR3	0.99986	0.118
DDX3X	0.99986	0.118
TSC1	1	0.118
SON	1	0.118
WHSC1	1	0.119
TCEB3	1	0.119
STAG1	1	0.119
ATRX	1	0.119
VCPIP1	1	0.119
EIF4A3	0.99985	0.119
MAU2	1	0.119
PSMC2	0.99985	0.119
DAZAP1	0.99985	0.119
POGZ	1	0.119
PRKAR1A	0.99985	0.119
SF3A3	1	0.119
FXR1	1	0.119
CDC42BPB	1	0.12
XPO7	1	0.12
RARB	0.99983	0.12
RERE	1	0.12
ZMYND11	1	0.12
RPL4	0.99984	0.12
SUPT16H	1	0.12
ZBTB47	0.99983	0.12
PRRC2C	1	0.121
PPFIA3	1	0.121
ATP1A1	1	0.121
KIF11	1	0.121
NCOA2	1	0.121
HIPK1	1	0.121
KIAA0430	1	0.121
ARMCX4	1	0.122
KMT2C	1	0.122
PIK3AP1	1	0.122
SEMA4C	1	0.122
CYTH1	0.99981	0.122
RBM17	0.99981	0.122
RTF1	1	0.122
IPO5	1	0.122
NUP98	1	0.122
TRAF2	0.99979	0.123
EIF4B	0.99999	0.123
ADNP	1	0.123
RET	1	0.123
TEAD1	0.9998	0.123
CCDC22	0.99979	0.123
SHANK3	1	0.123
CACNA1E	1	0.124
PRMT5	0.99999	0.124
JADE3	0.99978	0.124
WDR5	0.99978	0.124
CUL4A	0.99999	0.124
PCLO	1	0.124
ZNF219	0.99977	0.124
GAPVD1	1	0.125
EPC1	1	0.125
KCNB1	0.99977	0.125
NLGN2	0.99974	0.126
PCDH19	0.99975	0.126
DDX17	0.99999	0.126
RB1	1	0.126
WNK1	1	0.126
ZC3H18	1	0.126
CDK12	1	0.126
HECTD4	1	0.127
RALGPS1	0.99999	0.127
TNRC6C	1	0.127
SCN2A	1	0.127
SOBP	0.99972	0.127
VCP	0.99999	0.127
TLN1	1	0.128
BTAF1	1	0.128
EPHA7	1	0.128
COL4A1	1	0.128
SIK3	1	0.128
KAT6B	1	0.128
KAT7	0.99999	0.128
ZFR	1	0.128
GSE1	1	0.128
GSK3A	0.9997	0.128
L1CAM	1	0.129
CTNNB1	0.99999	0.129
PBRM1	1	0.129
PRICKLE1	0.99999	0.129
PUM1	1	0.129
AHCTF1	1	0.129
TNPO2	1	0.129
AAK1	1	0.129
RASA1	1	0.129
CDC5L	1	0.129
FERMT2	0.99999	0.13
WTAP	0.99966	0.13
UBR3	1	0.13
SCN8A	1	0.13
FNIP2	1	0.13
MSN	0.99967	0.13
PPP1R12A	1	0.13
RANBP9	0.99999	0.13
USP47	1	0.13
CCDC88A	1	0.13
MLLT3	0.99964	0.131
EIF3A	1	0.131
YTHDC2	1	0.131
KSR2	1	0.131
ZMYND8	1	0.131
CCNA2	0.99962	0.132
PTPN6	0.99999	0.132
SCML2	0.99961	0.132
SNRK	0.99961	0.132
MINK1	1	0.132
IRF6	0.99961	0.132
ZRSR2	0.99963	0.132
RFX7	1	0.132
CSTF2	0.99959	0.133
NR4A2	0.99959	0.133
TULP4	1	0.133
MAP1B	1	0.133
USP42	1	0.133
ZNF592	0.99998	0.133
NPAS2	1	0.133
ZSWIM8	1	0.133
IQSEC2	0.99998	0.133
U2AF2	0.9996	0.133
ITPR1	1	0.134
COL2A1	1	0.134
NPLOC4	0.99998	0.134
MAPKAPK2	0.99957	0.134
DDX42	1	0.134
CACNA1A	1	0.134
SUZ12	0.99998	0.134
PHF12	1	0.135
DACH1	0.99954	0.135
PORCN	0.99953	0.135
CTR9	1	0.135
RBM5	1	0.135
NRBP1	0.99998	0.135
TBX5	0.99954	0.135
FRMD4A	1	0.135
PTPN11	0.99998	0.135
DLGAP3	0.99998	0.136
HIRA	1	0.136
SETD1A	1	0.136
NAA35	1	0.136
ELMSAN1	1	0.136
CACTIN	0.99998	0.136
ARHGEF6	0.99998	0.136
FAM120C	0.99998	0.136
RBM6	1	0.136
KIF1A	1	0.136
MECOM	1	0.136
MBD5	1	0.136
MEIS1	0.99951	0.136
INTS6	1	0.136
ZFHX3	1	0.136
JPH4	0.99948	0.137
SMARCA1	1	0.137
HEATR1	1	0.137
BAI3	1	0.138
SLC12A5	1	0.138
TAF3	0.99997	0.138
SHOC2	0.99946	0.138
PSMC1	0.99945	0.138
RBM22	0.99947	0.138
NFKB1	1	0.138
AFF4	1	0.138
RB1CC1	1	0.138
SAFB	1	0.138
TRAPPC8	1	0.138
ARID4A	1	0.139
TRIO	1	0.139
YTHDF2	0.99943	0.139
PPFIA2	1	0.139
KDM6B	1	0.14
SPTB	1	0.14
SOS1	1	0.14
BAI1	1	0.14
AMBRA1	1	0.14
UBE2O	1	0.14
ZNF292	1	0.14
BCOR	1	0.141
HDAC5	1	0.141
PODXL2	0.99936	0.141
AFTPH	0.99997	0.141
RANBP3	0.99997	0.141
SPAG9	1	0.142
FNBP4	1	0.142
AGPAT3	0.99933	0.142
RANBP2	1	0.142
TKTL1	0.99933	0.142
ZBTB44	0.99929	0.142
WHSC1L1	1	0.142
CNOT4	0.99996	0.143
JAG2	1	0.143
TFCP2L1	0.99996	0.143
MAOA	0.99928	0.143
SAMD4B	0.99996	0.143
CSNK1E	0.99926	0.143
DNMT1	1	0.143
PHEX	0.99996	0.143
ATXN2L	1	0.143
XPO4	1	0.143
ARFGEF1	1	0.143
COPS5	0.99925	0.144
SPOP	0.99922	0.144
CSDE1	1	0.144
API5	0.99996	0.144
CUL1	1	0.144
DDX46	1	0.144
ZFHX4	1	0.144
GNB1	0.9992	0.145
HOMER1	0.9992	0.145
ZFPM2	1	0.145
AEBP2	0.99921	0.145
NUP85	1	0.145
CBLL1	0.99918	0.145
RNF38	0.99995	0.145
BAZ2A	1	0.146
JAG1	1	0.146
ASXL2	1	0.146
SP3	0.99995	0.146
SRRM1	1	0.146
MAML1	0.99995	0.146
CCNC	0.99914	0.146
KIF23	1	0.146
EZH2	1	0.146
RFX4	0.99999	0.147
XRCC5	0.99999	0.147
USP24	1	0.147
CHD3	1	0.147
HNRNPA1	0.99911	0.147
PPP1CB	0.99912	0.147
FLT4	1	0.147
UNC79	1	0.147
ZNF217	0.99995	0.147
EFHC2	0.9991	0.147
WBP11	0.99994	0.148
ITPKB	0.99994	0.148
CTCF	0.99994	0.148
ATP2B2	1	0.148
MAOB	0.99903	0.148
KLHDC3	0.99908	0.148
PRMT1	0.99907	0.148
TGFB2	0.99905	0.148
DIP2C	1	0.149
NFIX	0.99903	0.149
FBXL17	0.99901	0.149
WAS	0.99901	0.149
GCM1	0.999	0.149
YBX2	0.99896	0.15
TLE4	0.99999	0.15
SLC6A1	0.99993	0.15
EBF3	0.99993	0.15
MAPK8IP3	1	0.15
AHSA1	0.99896	0.15
PAN3	0.99999	0.15
PKN2	1	0.15
ABCD1	0.99896	0.15
SETD1B	1	0.151
CLCN4	0.99893	0.151
ARHGEF9	0.9989	0.151
B4GALT5	0.99889	0.151
MSL1	0.9989	0.151
SERPINC1	0.99892	0.151
KALRN	1	0.152
CASZ1	1	0.152
MARCH6	1	0.152
SFPQ	0.99992	0.152
BCORL1	0.99999	0.152
CMIP	0.99999	0.152
PPRC1	1	0.152
DDX26B	0.99992	0.152
C11orf30	1	0.153
EFEMP1	0.99992	0.153
MAPKAP1	0.99991	0.153
ATP1B1	0.99881	0.153
ELFN1	0.99882	0.153
SMCHD1	1	0.153
FBXW2	0.99877	0.153
GGA1	0.99992	0.153
CAMSAP3	1	0.154
AHR	0.99999	0.154
DMD	1	0.154
PPP1R10	1	0.154
HDLBP	1	0.154
ZNF609	1	0.154
ARHGAP42	1	0.155
OCRL	0.99999	0.155
RICTOR	1	0.155
ZNF541	1	0.155
FASN	1	0.155
ATAD2B	1	0.155
PCIF1	0.99999	0.155
DENND5B	1	0.155
HOOK3	1	0.155
ARHGEF2	1	0.156
XPR1	0.99999	0.156
INTS10	0.99999	0.156
USP3	0.99989	0.156
MARK2	0.99999	0.156
IKZF1	0.9986	0.156
CDH11	0.9999	0.156
KDM4A	1	0.156
RREB1	1	0.156
CHD4	1	0.156
HIPK2	1	0.156
NR2E1	0.99864	0.156
KPNA4	0.99989	0.156
CHD5	1	0.157
PLXND1	1	0.157
RXRA	0.99852	0.157
LRRC7	1	0.157
ZFC3H1	1	0.157
UBE4B	1	0.157
DOCK3	1	0.158
DMXL2	1	0.158
PELP1	0.99998	0.158
TXLNG	0.99845	0.158
UNC13A	1	0.158
MAT2A	0.99846	0.158
HECTD1	1	0.158
KCNQ2	0.99998	0.158
TANC2	1	0.158
PPP3CA	0.99988	0.158
LARP4B	0.99998	0.158
EPC2	0.99998	0.159
ROBO2	1	0.159
MAST1	1	0.159
POLR2A	1	0.159
GRIPAP1	0.99998	0.159
PSMD11	0.99987	0.159
TNRC6A	1	0.159
ESPL1	1	0.159
CUL5	1	0.159
FBRS	0.99987	0.159
SAP130	1	0.159
ALG13	0.99998	0.16
SMAD5	0.99838	0.16
GNB2L1	0.99836	0.16
SLIT2	1	0.16
PPM1A	0.99834	0.16
PPP4R2	0.99835	0.16
GSPT1	0.99986	0.16
PIP4K2B	0.99837	0.16
ZFX	0.99831	0.16
KANSL3	0.99998	0.16
RORC	0.99985	0.161
ZNF800	0.99985	0.161
DPF2	0.99985	0.161
APC	1	0.161
FKBP8	0.99825	0.161
OPHN1	0.99985	0.161
USP48	1	0.161
KDM6A	1	0.161
CAPZA2	0.99828	0.161
NPM1	0.99816	0.162
PSMD12	0.99984	0.162
ZNF131	0.99983	0.162
GPC3	0.9982	0.162
GRAMD4	0.99998	0.162
KIF2A	0.99998	0.162
FGD5	1	0.162
CKAP5	1	0.162
UPF1	1	0.162
UTP14A	0.99983	0.162
CHD1	1	0.162
ZBTB2	0.9982	0.162
CPSF6	0.99982	0.163
FAM120A	1	0.163
WDR43	0.99997	0.163
CUX1	1	0.163
ZNF865	0.99814	0.163
MAPK8IP1	0.99983	0.163
CDK19	0.99982	0.163
NFKB2	1	0.163
KDM5A	1	0.163
TEX10	1	0.163
KIAA0947	1	0.164
MDM2	0.99981	0.164
CASKIN1	1	0.164
MYC	0.99801	0.164
CLK2	0.99997	0.164
PAX5	0.99798	0.165
ZNF608	0.99999	0.165
DSCAML1	1	0.165
CCNJ	0.99796	0.165
CCNK	0.9998	0.165
TLK1	0.99999	0.165
LARP1	1	0.165
ARIH1	0.99997	0.166
LRRC4	0.99787	0.166
RBFOX3	0.99785	0.166
ZNF629	0.99978	0.166
KDM5C	1	0.166
PHF6	0.99784	0.166
DICER1	1	0.166
GRIN2D	0.99996	0.167
RPL5	0.99776	0.167
PHF23	0.99774	0.167
SIPA1L1	1	0.167
MYH10	1	0.167
GABBR2	0.99999	0.167
CECR2	1	0.167
F9	0.99776	0.167
PAK7	0.99977	0.167
USP11	0.99996	0.167
PPP1R9B	0.99975	0.168
SFSWAP	0.99999	0.168
HNF1B	0.99976	0.168
NOP2	0.99996	0.168
TMEM63B	0.99999	0.168
STAU1	0.99976	0.168
ARPC2	0.99769	0.168
CSK	0.99977	0.168
SOX9	0.99772	0.168
NCOR2	1	0.169
ANK1	1	0.169
ZNF236	1	0.169
ABCA2	1	0.169
PPP1R16B	0.99974	0.169
RC3H2	1	0.169
PAX6	0.99975	0.169
CENPI	0.99974	0.169
ZNF638	1	0.169
NACC1	0.99763	0.169
PDGFRA	1	0.169
CADM4	0.99762	0.169
ACVR2A	0.99972	0.17
TRIM9	0.99973	0.17
DYRK2	0.99751	0.17
TRPC5	0.99973	0.17
C7orf60	0.99746	0.17
MKL2	0.99999	0.17
GPATCH8	1	0.17
ESCO1	0.99995	0.17
GRID2	1	0.17
WEE1	0.99973	0.17
MBTPS2	0.99752	0.17
PRPF4B	1	0.17
ZNF654	0.99753	0.17
CHD9	1	0.17
KIF1B	1	0.171
RNF2	0.99743	0.171
DAGLA	0.99999	0.171
MNT	0.99739	0.171
PRKCD	0.99995	0.171
KDM4B	1	0.171
CELF1	0.99971	0.171
ANKRD28	1	0.171
MEN1	0.99971	0.171
SYVN1	0.9997	0.171
FZR1	0.99969	0.172
ZFP91	0.9997	0.172
ARMC8	0.99999	0.172
CAMTA1	1	0.172
LIN54	0.99994	0.172
TRIM71	0.99969	0.172
NKAP	0.99735	0.172
TFAP4	0.99731	0.172
ACVR1B	0.99969	0.172
PSMD4	0.99726	0.172
FBLN5	0.9997	0.172
EEF2	0.99995	0.172
ISY1-RAB43	0.9997	0.172
CFLAR	0.99967	0.173
OTUD5	0.99717	0.173
HIVEP1	1	0.173
GTF3C1	1	0.173
ENAH	0.99994	0.173
FOXO1	0.99725	0.173
TNRC6B	1	0.173
EEF1G	0.99967	0.173
TENM4	1	0.173
KLF4	0.99714	0.174
SEC24C	1	0.174
CTDSPL2	0.99966	0.174
JADE2	0.99994	0.174
PCGF1	0.99713	0.174
TTC28	1	0.174
GATA6	0.99709	0.174
SCN3A	1	0.174
PSME3	0.99714	0.174
TET1	1	0.174
NUP153	1	0.174
CELF2	0.99965	0.174
DDX6	0.99964	0.174
BAG6	1	0.174
EPHA4	1	0.175
MKLN1	0.99998	0.175
ZMYM4	1	0.175
PPP2R5D	0.99993	0.175
ANAPC2	0.99993	0.175
FOXP1	0.99998	0.175
TDRD1	1	0.175
MAP4K4	1	0.175
MAPK1	0.99698	0.175
NCDN	0.99964	0.175
BSN	1	0.175
ADRM1	0.99704	0.175
NCOR1	1	0.175
CNOT7	0.99686	0.176
MTM1	0.99961	0.176
BAZ1A	1	0.176
ABL1	0.99998	0.176
JAKMIP2	1	0.176
ZNF516	0.99992	0.176
PTBP1	0.99961	0.176
CLASP1	1	0.176
HTT	1	0.176
RELN	1	0.176
BRPF1	1	0.176
R3HDM2	1	0.176
MYO9B	1	0.177
PHF2	1	0.177
PAPOLA	0.99998	0.177
ZZZ3	0.99998	0.177
EIF4ENIF1	0.99999	0.177
PSME4	1	0.177
NCL	0.99992	0.177
GLA	0.99675	0.177
GPHN	0.99998	0.177
BRPF3	0.99998	0.177
MSL3	0.99665	0.178
PRPF8	1	0.178
KDM2B	1	0.178
AKT3	0.99958	0.178
HIC2	0.99668	0.178
PNISR	0.99998	0.178
DPP10	0.99999	0.178
MGAT5	0.99998	0.178
NKRF	0.99661	0.178
ADRBK1	0.99998	0.178
ZER1	0.99992	0.178
EXOC5	0.99991	0.178
SF3B3	1	0.178
SYMPK	1	0.179
SPPL3	0.99656	0.179
PKD1	1	0.179
TEK	1	0.179
G3BP2	0.99954	0.179
ZBTB18	0.99658	0.179
PTPN2	0.99953	0.179
ARHGEF12	1	0.179
LAS1L	0.99955	0.179
PLK2	0.9999	0.18
PITPNM2	1	0.18
IDS	0.9964	0.18
DST	1	0.18
DNM2	0.99998	0.18
PDS5B	1	0.18
PTPRT	1	0.18
RPL7	0.99626	0.181
TOX3	0.9995	0.181
CENPB	0.99634	0.181
SERBP1	0.9995	0.181
ZRANB2	0.99949	0.181
HCN1	0.99989	0.181
RELA	0.99948	0.181
COPS3	0.99949	0.181
TFDP2	0.9995	0.181
WDR7	1	0.181
TNIK	1	0.181
ZDHHC17	0.99989	0.181
NOL6	1	0.182
NOVA1	0.99621	0.182
LMTK3	0.99997	0.182
ATP5A1	0.99945	0.182
SLC7A3	0.99614	0.182
MLLT10	1	0.182
MLLT6	0.99997	0.182
RP11-152F13.10	0.9961	0.182
ATP2C1	1	0.182
RNF8	0.99943	0.183
SET	0.99597	0.183
UBE3C	1	0.183
SYCP2	1	0.183
CIC	0.99999	0.183
ACAN	1	0.183
SF1	0.99943	0.183
EPHB2	0.99997	0.184
CSNK2A2	0.9994	0.184
FAT4	1	0.184
NAP1L1	0.99941	0.184
MED12L	1	0.184
ALAS2	0.99586	0.184
CEP350	1	0.184
DDX21	0.99997	0.184
MEIS2	0.99938	0.184
MTF2	0.99987	0.184
MAP3K4	1	0.184
SHANK1	1	0.184
KLHL2	0.99985	0.185
MTOR	1	0.185
PACS1	0.99999	0.185
GLUL	0.9957	0.185
NAV3	1	0.185
NCAM1	0.99999	0.185
SARNP	0.99574	0.185
WWC3	0.99996	0.185
LRRC41	0.99986	0.185
CTNND1	0.99999	0.185
LPHN3	1	0.185
CNKSR2	0.99996	0.185
FXR2	0.99996	0.185
SYK	0.99986	0.185
PTPN12	0.99996	0.186
PAPD7	0.99934	0.186
PARP6	0.99996	0.186
EEF1A2	0.99558	0.186
HNRNPUL1	0.99999	0.186
ZC3H11A	0.99996	0.186
PRRC2A	1	0.186
XKR6	0.99934	0.186
ARID4B	1	0.187
EIF3D	0.99983	0.187
NDST1	0.99995	0.187
PTPRF	1	0.187
LPHN1	1	0.187
ARHGEF7	0.99995	0.187
GPKOW	0.99553	0.187
EED	0.99929	0.187
ZNF423	0.99996	0.187
CUX2	1	0.187
NFATC2	0.99995	0.187
STAT1	0.99999	0.187
TMEM108	0.99555	0.187
DIDO1	1	0.187
PHF20L1	1	0.187
PRDM16	0.99999	0.187
DLL4	0.99982	0.188
SEPT7	0.99924	0.188
CDC73	0.99995	0.188
JARID2	0.99999	0.188
SNRNP70	0.99926	0.188
PRRC2B	1	0.188
SOX5	0.99995	0.188
GRIN2A	0.99998	0.188
PLAG1	0.99532	0.188
ASAP1	1	0.188
CCT5	0.99928	0.188
CNOT2	0.99981	0.189
ELAVL2	0.99514	0.189
SUGP2	0.99995	0.189
RSPRY1	0.99981	0.189
USP37	0.99999	0.189
NRF1	0.99922	0.189
NFKBIZ	0.99981	0.189
RBBP5	0.99981	0.189
DSCAM	1	0.189
TTC7B	0.99998	0.189
PRKD2	0.99995	0.189
PAXBP1	0.99999	0.19
UNK	0.99994	0.19
KIAA2018	1	0.19
AP2M1	0.99919	0.19
NOS1	1	0.19
CBX2	0.99503	0.19
PPARD	0.99497	0.19
YAP1	0.99918	0.19
ESR1	0.9992	0.19
THRAP3	0.99998	0.19
UBE2Q1	0.99919	0.19
RNF31	1	0.19
NYAP1	0.99917	0.19
SCARF2	0.9998	0.19
C20orf112	0.99496	0.191
DOCK9	1	0.191
COL4A5	1	0.191
NR2F1	0.99482	0.191
WNK3	0.99999	0.191
DKC1	0.99916	0.191
SENP5	0.99978	0.191
LGI1	0.99914	0.191
BMPR2	0.99998	0.191
SMARCE1	0.99915	0.191
FURIN	0.99994	0.191
SPTBN4	1	0.191
RPL7A	0.99485	0.191
TENM2	1	0.191
ASIC2	0.99912	0.192
ACTR3B	0.99911	0.192
ARHGAP31	0.99999	0.192
SNX27	0.99977	0.192
AJAP1	0.99469	0.192
PTPRA	0.99998	0.192
GRIK3	0.99998	0.192
MAP1A	1	0.192
CEP170	1	0.192
GDI1	0.99471	0.192
XKR4	0.99912	0.192
HPN	0.99911	0.192
TNS3	1	0.192
MTPAP	0.99904	0.193
VDAC3	0.99454	0.193
SNAP91	0.99993	0.193
EBF2	0.99976	0.193
TAF5L	0.99904	0.193
ZBTB16	0.99907	0.193
AGO3	0.99997	0.193
PPME1	0.99904	0.193
GRIA3	0.99976	0.193
NFKBIA	0.99452	0.193
TENM1	1	0.193
CYBB	0.99904	0.193
SCAF11	1	0.193
TBX18	0.99905	0.193
SEC24B	1	0.194
ZNF280C	0.99899	0.194
ATN1	0.99992	0.194
EXOC8	0.99902	0.194
BHLHE40	0.99444	0.194
SH3KBP1	0.99899	0.194
SKI	0.99901	0.194
DCUN1D5	0.99432	0.194
SOGA1	1	0.194
CHM	0.99899	0.194
RBFOX2	0.99902	0.194
RAE1	0.99902	0.194
RUVBL1	0.99902	0.194
SMEK1	0.99992	0.194
TBR1	0.99901	0.194
PSMD13	0.99901	0.194
GLI3	0.99999	0.195
SGIP1	0.99997	0.195
FOXP3	0.99424	0.195
KIAA0232	0.99999	0.195
WDR44	0.99972	0.195
CACNG3	0.99417	0.195
SIN3B	0.99999	0.195
ATRN	1	0.195
KLHL15	0.99422	0.195
ACTR2	0.99896	0.195
GLYR1	0.99973	0.195
CLIP2	0.99997	0.196
PDS5A	1	0.196
PIK3CD	0.99999	0.196
ROCK1	1	0.196
SALL1	0.99971	0.196
ATXN7L3	0.99892	0.196
FGD1	0.9997	0.196
LINGO1	0.99413	0.196
