trait	cohort	lead_variant	ensgid	gene	chromosome	start	end	tss	pops_score	pops_rank	twas_z	twas_p	twas_rank	distance_tss	distance_tss_rank	distance_genebody	distance_genebody_rank
ADHD	UKB	rs10262192	ENSG00000154415	PPP1R3A	7	113516832.0	113715975.0	113715975.0	-0.04318459816988803	3.0	2.44	0.0145	2.0	375778.0	2.0	375778.0	2.0
ADHD	UKB	rs10262192	ENSG00000128573	FOXP2	7	113726382.0	114333827.0	113726382.0	1.275043554871453	1.0	2.81	0.0049700000000000005	1.0	365371.0	1.0	0.0	1.0
ADHD	UKB	rs10262192	ENSG00000135272	MDFIC	7	114562209.0	114659256.0	114562209.0	0.049889419330289585	2.0	1.09	0.27399999999999997	3.0	470456.0	3.0	470456.0	3.0
ADHD	UKB	rs11591402	ENSG00000156395	SORCS3	10	106400859.0	107024993.0	106400859.0	-0.07882374795064373	1.0	2.911086	0.0036	1.0	346495.0	1.0	0.0	1.0
ADHD	UKB	rs1427829	ENSG00000139318	DUSP6	12	89741009.0	89747048.0	89747048.0	0.9640503539902828	1.0				13696.0	1.0	13696.0	1.0
ADHD	UKB	rs1427829	ENSG00000139323	POC1B	12	89813495.0	89919801.0	89919801.0	-0.011324215587525957	3.0	0.19188	0.848	3.0	159057.0	2.0	52751.0	2.0
ADHD	UKB	rs1427829	ENSG00000257594	GALNT4	12	89913185.0	89920039.0	89920039.0	-0.11388676924355455	4.0	1.8878439999999999	0.059	2.0	159295.0	3.0	152441.0	3.0
ADHD	UKB	rs1427829	ENSG00000070961	ATP2B1	12	89981828.0	90103077.0	90103077.0	-0.003190164700349908	2.0	2.541789	0.011	1.0	342333.0	4.0	221084.0	4.0
ADHD	UKB	rs281320	ENSG00000259752	FKSG62	15	47425693.0	47426320.0	47426320.0	-0.07333650233718936	1.0	-0.9245450000000001	0.355	2.0	343104.0	2.0	343104.0	2.0
ADHD	UKB	rs281320	ENSG00000137872	SEMA6D	15	47476298.0	48066420.0	47476298.0	-0.1809176542411342	2.0	5.154325	2.55e-07	1.0	293126.0	1.0	0.0	1.0
ADHD	UKB	rs212178	ENSG00000140830	TXNL4B	16	72078188.0	72128330.0	72128330.0	0.03287991780265793	5.0	4.45	8.53e-06	1.0	449801.0	2.0	449801.0	4.0
ADHD	UKB	rs212178	ENSG00000257017	HP	16	72088491.0	72094954.0	72088491.0	0.1575484625438804	4.0	3.64	0.000276	4.0	489640.0	5.0	483177.0	6.0
ADHD	UKB	rs212178	ENSG00000261701	HPR	16	72088522.0	72111145.0	72088522.0	-0.0808193300694157	6.0	3.69	0.0002220000000000001	3.0	489609.0	4.0	466986.0	5.0
ADHD	UKB	rs212178	ENSG00000140829	DHX38	16	72127461.0	72146811.0	72127461.0	0.20911752930452115	2.0	4.44	8.87e-06	2.0	450670.0	3.0	431320.0	3.0
ADHD	UKB	rs212178	ENSG00000118557	PMFBP1	16	72146056.0	72210777.0	72210777.0	0.19064761697224167	3.0	3.04	0.00234	6.0	367354.0	1.0	367354.0	2.0
ADHD	UKB	rs212178	ENSG00000140836	ZFHX3	16	72816784.0	73093597.0	73093597.0	0.3572430807635401	1.0	3.07	0.00216	5.0	515466.0	6.0	238653.0	1.0
Alzheimer	UKB	rs1752684	ENSG00000123836	PFKFB2	1	207222801.0	207254369.0	207222801.0	0.19882878022727848	6.0	-1.60655	0.10800000000000001	5.0	524495.0	9.0	492927.0	10.0
Alzheimer	UKB	rs1752684	ENSG00000123843	C4BPB	1	207262187.0	207273338.0	207262187.0	0.05487849541404104	8.0	0.621138	0.535	8.0	485109.0	8.0	473958.0	9.0
Alzheimer	UKB	rs1752684	ENSG00000123838	C4BPA	1	207277607.0	207318317.0	207277607.0	-0.12190751191834875	9.0	1.193667	0.233	6.0	469689.0	7.0	428979.0	7.0
Alzheimer	UKB	rs1752684	ENSG00000196352	CD55	1	207494853.0	207534311.0	207494853.0	0.9348654549616779	1.0	3.083533	0.00205	2.0	252443.0	5.0	212985.0	5.0
Alzheimer	UKB	rs1752684	ENSG00000117322	CR2	1	207627575.0	207663240.0	207627575.0	-0.4858490456510706	10.0	0.71772	0.473	7.0	119721.0	3.0	84056.0	3.0
Alzheimer	UKB	rs1752684	ENSG00000203710	CR1	1	207669492.0	207813992.0	207669492.0	0.4220831928189101	3.0	7.9152960000000006	2.47e-15	1.0	77804.0	2.0	0.0	1.0
Alzheimer	UKB	rs1752684	ENSG00000197721	CR1L	1	207818458.0	207911761.0	207818458.0	0.18875832839168946	7.0	2.250423	0.0244	3.0	71162.0	1.0	71162.0	2.0
Alzheimer	UKB	rs1752684	ENSG00000117335	CD46	1	207925402.0	207968858.0	207925402.0	0.3777537936264192	4.0	1.619397	0.105	4.0	178106.0	4.0	178106.0	4.0
Alzheimer	UKB	rs1752684	ENSG00000174059	CD34	1	208057594.0	208084747.0	208084747.0	0.6162882488456124	2.0	0.054609000000000005	0.956	9.0	337451.0	6.0	310298.0	6.0
Alzheimer	UKB	rs1752684	ENSG00000076356	PLXNA2	1	208195587.0	208417665.0	208417665.0	0.29078454710729473	5.0	-0.007982	0.9940000000000001	10.0	670369.0	10.0	448291.0	8.0
Alzheimer	UKB	rs4663105	ENSG00000136732	GYPC	2	127413509.0	127454246.0	127413509.0	0.1356877716196622	3.0	2.592968	0.00952	3.0	477918.0	8.0	437181.0	8.0
Alzheimer	UKB	rs4663105	ENSG00000136717	BIN1	2	127805603.0	127864931.0	127864931.0	0.4226746471246793	1.0	3.468119	0.000524	2.0	26496.0	1.0	26496.0	1.0
Alzheimer	UKB	rs4663105	ENSG00000186684	CYP27C1	2	127941696.0	127977654.0	127977654.0	-0.35694195636509635	7.0	2.361567	0.0182	5.0	86227.0	2.0	50269.0	2.0
Alzheimer	UKB	rs4663105	ENSG00000163161	ERCC3	2	128014866.0	128051752.0	128051752.0	0.128654604996815	4.0	0.9921459999999999	0.321	7.0	160325.0	3.0	123439.0	3.0
Alzheimer	UKB	rs4663105	ENSG00000169967	MAP3K2	2	128056306.0	128146041.0	128146041.0	0.2053887447793184	2.0	0.39242	0.695	8.0	254614.0	4.0	164879.0	4.0
Alzheimer	UKB	rs4663105	ENSG00000115718	PROC	2	128176003.0	128186822.0	128176003.0	-0.5202857120172705	8.0	3.67984	0.000233	1.0	284576.0	5.0	284576.0	5.0
Alzheimer	UKB	rs4663105	ENSG00000163166	IWS1	2	128193783.0	128284462.0	128284462.0	-0.08981668570997323	5.0	1.8676119999999998	0.0618	6.0	393035.0	6.0	302356.0	6.0
Alzheimer	UKB	rs4663105	ENSG00000169994	MYO7B	2	128293378.0	128395304.0	128293378.0	-0.11854623129898705	6.0	2.5612470000000003	0.0104	4.0	401951.0	7.0	401951.0	7.0
Alzheimer	UKB	rs73729117	ENSG00000168477	TNXB	6	32008931.0	32083111.0	32083111.0	0.2509483890690051	6.0				436489.0	30.0	436489.0	30.0
Alzheimer	UKB	rs73729117	ENSG00000213676	ATF6B	6	32065953.0	32096030.0	32096030.0	0.041184709235507655	17.0				423570.0	29.0	423570.0	29.0
Alzheimer	UKB	rs73729117	ENSG00000204315	FKBPL	6	32096484.0	32098068.0	32098068.0	0.14708205990085196	10.0				421532.0	28.0	421532.0	28.0
Alzheimer	UKB	rs73729117	ENSG00000204314	PRRT1	6	32116136.0	32122150.0	32122150.0	0.13364087921618722	11.0				397450.0	24.0	397450.0	26.0
Alzheimer	UKB	rs73729117	ENSG00000221988	PPT2	6	32121218.0	32134011.0	32121218.0	-0.13300988463058575	24.0				398382.0	25.0	385589.0	24.0
Alzheimer	UKB	rs73729117	ENSG00000241404	EGFL8	6	32132360.0	32136058.0	32132360.0	-0.01464551318342386	19.0				387240.0	22.0	383542.0	23.0
Alzheimer	UKB	rs73729117	ENSG00000204310	AGPAT1	6	32135989.0	32145873.0	32145873.0	0.30096732747067817	5.0				373727.0	21.0	373727.0	21.0
Alzheimer	UKB	rs73729117	ENSG00000204308	RNF5	6	32146131.0	32151930.0	32146131.0	0.009609672157877641	18.0				373469.0	20.0	367670.0	20.0
Alzheimer	UKB	rs73729117	ENSG00000204305	AGER	6	32148745.0	32152101.0	32152101.0	-0.09532073466433932	22.0				367499.0	19.0	367499.0	19.0
Alzheimer	UKB	rs73729117	ENSG00000204304	PBX2	6	32152512.0	32157963.0	32157963.0	0.04237049642649399	16.0				361637.0	18.0	361637.0	18.0
Alzheimer	UKB	rs73729117	ENSG00000213654	GPSM3	6	32158543.0	32163300.0	32163300.0	0.6137478209322056	1.0				356300.0	17.0	356300.0	17.0
Alzheimer	UKB	rs73729117	ENSG00000204301	NOTCH4	6	32162620.0	32191844.0	32191844.0	0.05449294880590296	13.0				327756.0	16.0	327756.0	16.0
Alzheimer	UKB	rs73729117	ENSG00000204296	C6orf10	6	32256303.0	32339684.0	32339684.0	-0.2935321311010259	29.0				179916.0	7.0	179916.0	7.0
Alzheimer	UKB	rs73729117	ENSG00000204290	BTNL2	6	32361740.0	32374905.0	32374905.0	0.2152808394407948	8.0				144695.0	6.0	144695.0	6.0
Alzheimer	UKB	rs73729117	ENSG00000204287	HLA-DRA	6	32407619.0	32412823.0	32407619.0	0.09203416856721533	12.0				111981.0	4.0	106777.0	4.0
Alzheimer	UKB	rs73729117	ENSG00000198502	HLA-DRB5	6	32485120.0	32498064.0	32498064.0	0.04889918113873342	15.0				21536.0	1.0	21536.0	1.0
Alzheimer	UKB	rs73729117	ENSG00000196126	HLA-DRB1	6	32546546.0	32557625.0	32557625.0	-0.21453656757137105	28.0				38025.0	2.0	26946.0	2.0
Alzheimer	UKB	rs73729117	ENSG00000196735	HLA-DQA1	6	32595956.0	32614839.0	32595956.0	-0.021973063970995268	20.0				76356.0	3.0	76356.0	3.0
Alzheimer	UKB	rs73729117	ENSG00000179344	HLA-DQB1	6	32627244.0	32636160.0	32636160.0	-0.3667141739896422	30.0				116560.0	5.0	107644.0	5.0
Alzheimer	UKB	rs73729117	ENSG00000237541	HLA-DQA2	6	32709119.0	32714992.0	32709119.0	-0.15341610134060107	25.0				189519.0	8.0	189519.0	8.0
Alzheimer	UKB	rs73729117	ENSG00000232629	HLA-DQB2	6	32723875.0	32731311.0	32731311.0	-0.09713451029804523	23.0				211711.0	9.0	204275.0	9.0
Alzheimer	UKB	rs73729117	ENSG00000241106	HLA-DOB	6	32780540.0	32784825.0	32784825.0	0.4594437057888194	2.0				265225.0	10.0	260940.0	10.0
Alzheimer	UKB	rs73729117	ENSG00000250264	TAP2	6	32781544.0	32806599.0	32806599.0	0.04923398883606527	14.0				286999.0	12.0	261944.0	11.0
Alzheimer	UKB	rs73729117	ENSG00000204267	TAP2	6	32789610.0	32806557.0	32806557.0	0.433456254806856	4.0				286957.0	11.0	270010.0	12.0
Alzheimer	UKB	rs73729117	ENSG00000204264	PSMB8	6	32808494.0	32812480.0	32812480.0	-0.1864316185016987	26.0				292880.0	14.0	288894.0	13.0
Alzheimer	UKB	rs73729117	ENSG00000240065	PSMB9	6	32811913.0	32827362.0	32811913.0	-0.6858529835453899	31.0				292313.0	13.0	292313.0	14.0
Alzheimer	UKB	rs73729117	ENSG00000168394	TAP1	6	32812986.0	32821755.0	32821755.0	0.4420013861668437	3.0				302155.0	15.0	293386.0	15.0
Alzheimer	UKB	rs73729117	ENSG00000242574	HLA-DMB	6	32902406.0	32908847.0	32908847.0	-0.08162048496325675	21.0				389247.0	23.0	382806.0	22.0
Alzheimer	UKB	rs73729117	ENSG00000204257	HLA-DMA	6	32916390.0	32936871.0	32936871.0	0.2199239022144993	7.0				417271.0	27.0	396790.0	25.0
Alzheimer	UKB	rs73729117	ENSG00000204256	BRD2	6	32936437.0	32949282.0	32936437.0	0.15490054873111467	9.0				416837.0	26.0	416837.0	27.0
Alzheimer	UKB	rs73729117	ENSG00000204252	HLA-DOA	6	32971955.0	32977389.0	32977389.0	-0.1984449276078872	27.0				457789.0	31.0	452355.0	31.0
Alzheimer	UKB	rs9381563	ENSG00000153292	GPR110	6	46965440.0	47010099.0	47010099.0	-0.2802512834144916	7.0				422538.0	6.0	422538.0	7.0
Alzheimer	UKB	rs9381563	ENSG00000146072	TNFRSF21	6	47199268.0	47277641.0	47277641.0	0.2136217299102492	2.0	0.883956	0.377	5.0	154996.0	2.0	154996.0	2.0
Alzheimer	UKB	rs9381563	ENSG00000198087	CD2AP	6	47445525.0	47594999.0	47445525.0	0.908810535924962	1.0	4.851252	1.23e-06	1.0	12888.0	1.0	12888.0	1.0
Alzheimer	UKB	rs9381563	ENSG00000164393	GPR111	6	47624172.0	47665533.0	47624172.0	0.00505481403478106	3.0	4.319205999999999	1.57e-05	2.0	191535.0	3.0	191535.0	3.0
Alzheimer	UKB	rs9381563	ENSG00000153294	GPR115	6	47653600.0	47689757.0	47653600.0	-0.10121551329270094	5.0	2.107843	0.035	3.0	220963.0	4.0	220963.0	4.0
Alzheimer	UKB	rs9381563	ENSG00000124818	OPN5	6	47749718.0	47800516.0	47749718.0	-0.06895443425658487	4.0	1.8785580000000002	0.0603	4.0	317081.0	5.0	317081.0	5.0
Alzheimer	UKB	rs9381563	ENSG00000244694	PTCHD4	6	47845764.0	48036425.0	48036425.0	-0.11329425051947095	6.0	0.574314	0.5660000000000001	6.0	603788.0	7.0	413127.0	6.0
Alzheimer	UKB	rs10808026	ENSG00000127412	TRPV5	7	142605267.0	142630905.0	142630905.0	0.23863100885588984	3.0	0.503287	0.615	13.0	468228.0	20.0	468228.0	21.0
Alzheimer	UKB	rs10808026	ENSG00000165131	C7orf34	7	142636440.0	142637955.0	142636440.0	0.07824747411777898	7.0	0.810543	0.418	9.0	462693.0	19.0	461178.0	20.0
Alzheimer	UKB	rs10808026	ENSG00000197993	KEL	7	142638201.0	142659768.0	142659768.0	-0.01484277641296742	15.0	1.9027560000000001	0.0571	4.0	439365.0	18.0	439365.0	18.0
Alzheimer	UKB	rs10808026	ENSG00000179468	OR9A2	7	142723245.0	142724282.0	142724282.0	0.0012636317723796664	13.0				374851.0	17.0	374851.0	17.0
Alzheimer	UKB	rs10808026	ENSG00000225781	OR6V1	7	142749417.0	142750444.0	142749417.0	0.02290265169889935	12.0				349716.0	15.0	348689.0	15.0
Alzheimer	UKB	rs10808026	ENSG00000159763	PIP	7	142829170.0	142836839.0	142829170.0	0.15313672869705638	5.0	-0.694584	0.48700000000000004	11.0	269963.0	14.0	262294.0	14.0
Alzheimer	UKB	rs10808026	ENSG00000236398	TAS2R39	7	142880512.0	142881528.0	142880512.0	0.04614285222706383	8.0				218621.0	12.0	217605.0	12.0
Alzheimer	UKB	rs10808026	ENSG00000221937	TAS2R40	7	142919130.0	142920162.0	142919130.0	0.08575697040356298	6.0				180003.0	11.0	178971.0	11.0
Alzheimer	UKB	rs10808026	ENSG00000197448	GSTK1	7	142941186.0	142967947.0	142941186.0	0.5342986508015103	1.0	0.779907	0.435	10.0	157947.0	9.0	131186.0	9.0
Alzheimer	UKB	rs10808026	ENSG00000178826	TMEM139	7	142977050.0	142985141.0	142977050.0	-0.06990594331473915	18.0	0.529662	0.596	12.0	122083.0	8.0	113992.0	8.0
Alzheimer	UKB	rs10808026	ENSG00000106144	CASP2	7	142985308.0	143004789.0	142985308.0	-0.1414507012394054	21.0				113825.0	7.0	94344.0	7.0
Alzheimer	UKB	rs10808026	ENSG00000188037	CLCN1	7	143013219.0	143049176.0	143013219.0	-0.028757715957124463	16.0	1.0844770000000001	0.278	7.0	85914.0	6.0	49957.0	5.0
Alzheimer	UKB	rs10808026	ENSG00000159784	FAM131B	7	143050493.0	143059863.0	143059863.0	0.04379313847660687	9.0	1.366668	0.172	6.0	39270.0	3.0	39270.0	3.0
Alzheimer	UKB	rs10808026	ENSG00000159840	ZYX	7	143078173.0	143088204.0	143078173.0	0.18249082769106906	4.0	2.756168	0.00585	3.0	20960.0	2.0	10929.0	2.0
Alzheimer	UKB	rs10808026	ENSG00000146904	EPHA1	7	143087382.0	143105985.0	143105985.0	0.3017325865715909	2.0	1.612349	0.107	5.0	6852.0	1.0	0.0	1.0
Alzheimer	UKB	rs10808026	ENSG00000185899	TAS2R60	7	143140546.0	143141502.0	143140546.0	0.03882833398232825	10.0	-6.6937729999999975	2.17e-11	1.0	41413.0	4.0	41413.0	4.0
Alzheimer	UKB	rs10808026	ENSG00000221855	TAS2R41	7	143174966.0	143175889.0	143174966.0	-0.003009662625398711	14.0				75833.0	5.0	75833.0	6.0
Alzheimer	UKB	rs10808026	ENSG00000271079	CTAGE15	7	143268894.0	143271480.0	143268894.0	-0.03539909171036119	17.0				169761.0	10.0	169761.0	10.0
Alzheimer	UKB	rs10808026	ENSG00000170379	FAM115C	7	143318043.0	143427502.0	143318043.0	-0.08168877725156676	19.0	3.089813	0.002	2.0	218910.0	13.0	218910.0	13.0
Alzheimer	UKB	rs10808026	ENSG00000271321	CTAGE6	7	143452182.0	143454789.0	143454789.0	0.03358222989759392	11.0	0.281888	0.778	14.0	355656.0	16.0	353049.0	16.0
Alzheimer	UKB	rs10808026	ENSG00000198420	FAM115A	7	143548468.0	143599291.0	143599291.0	-0.1343898287860101	20.0	0.9068799999999999	0.364	8.0	500158.0	21.0	449335.0	19.0
Alzheimer	UKB	rs7982	ENSG00000015592	STMN4	8	27092840.0	27115937.0	27115937.0	0.07612347074363272	6.0	0.85091	0.395	9.0	346544.0	10.0	346544.0	11.0
Alzheimer	UKB	rs7982	ENSG00000104228	TRIM35	8	27142404.0	27168836.0	27168836.0	-0.13465671549287367	8.0	2.0752599999999997	0.038	4.0	293645.0	9.0	293645.0	10.0
Alzheimer	UKB	rs7982	ENSG00000120899	PTK2B	8	27168999.0	27316903.0	27168999.0	0.09833928786406856	5.0	4.46244	8.1e-06	2.0	293482.0	8.0	145578.0	6.0
Alzheimer	UKB	rs7982	ENSG00000120903	CHRNA2	8	27317279.0	27337400.0	27337400.0	0.14212174908692934	4.0	2.6636599999999997	0.00773	3.0	125081.0	4.0	125081.0	4.0
Alzheimer	UKB	rs7982	ENSG00000120915	EPHX2	8	27348296.0	27403081.0	27348296.0	-0.3266514558315854	13.0	1.5942399999999999	0.111	7.0	114185.0	3.0	59400.0	3.0
Alzheimer	UKB	rs7982	ENSG00000120885	CLU	8	27454434.0	27472548.0	27472548.0	1.4683850193836006	1.0	7.4083	1.2799999999999998e-13	1.0	10067.0	1.0	0.0	1.0
Alzheimer	UKB	rs7982	ENSG00000168077	SCARA3	8	27491385.0	27534293.0	27491385.0	0.27333749238888405	2.0	0.83188	0.405	10.0	28904.0	2.0	28904.0	2.0
Alzheimer	UKB	rs7982	ENSG00000147419	CCDC25	8	27590835.0	27630170.0	27630170.0	-0.14630803039241322	9.0	1.40856	0.159	8.0	167689.0	6.0	128354.0	5.0
Alzheimer	UKB	rs7982	ENSG00000171320	ESCO2	8	27629466.0	27670157.0	27629466.0	0.221206325937851	3.0	1.68146	0.0927	6.0	166985.0	5.0	166985.0	7.0
Alzheimer	UKB	rs7982	ENSG00000168078	PBK	8	27667137.0	27695612.0	27695612.0	-0.2550754860874155	11.0	-0.44436000000000003	0.657	12.0	233131.0	7.0	204656.0	8.0
Alzheimer	UKB	rs7982	ENSG00000168079	SCARA5	8	27727399.0	27850244.0	27850244.0	-0.2912538471358189	12.0	1.70259	0.0886	5.0	387763.0	11.0	264918.0	9.0
Alzheimer	UKB	rs7982	ENSG00000189233	NUGGC	8	27879481.0	27941388.0	27941388.0	-0.16486023455180596	10.0	0.17045	0.865	13.0	478907.0	12.0	417000.0	12.0
Alzheimer	UKB	rs7982	ENSG00000134014	ELP3	8	27947190.0	28048673.0	27947190.0	0.060845828000893526	7.0	0.63038	0.528	11.0	484709.0	13.0	484709.0	13.0
Alzheimer	UKB	rs72924659	ENSG00000134812	GIF	11	59596741.0	59612974.0	59612974.0	-0.0731577576293458	9.0				490411.0	20.0	490411.0	20.0
Alzheimer	UKB	rs72924659	ENSG00000134827	TCN1	11	59620273.0	59634048.0	59634048.0	-0.08324059043895872	11.0				469337.0	19.0	469337.0	19.0
Alzheimer	UKB	rs72924659	ENSG00000214788	OOSP1	11	59705928.0	59712807.0	59705928.0	8.715688327849114e-05	6.0				397457.0	16.0	390578.0	15.0
Alzheimer	UKB	rs72924659	ENSG00000149507	OOSP2	11	59807748.0	59815517.0	59807748.0	-0.13078870901892267	14.0				295637.0	13.0	287868.0	13.0
Alzheimer	UKB	rs72924659	ENSG00000149516	MS4A3	11	59824060.0	59838601.0	59824060.0	0.309862508036772	3.0	-1.95	0.0515	7.0	279325.0	12.0	264784.0	12.0
Alzheimer	UKB	rs72924659	ENSG00000149534	MS4A2	11	59855734.0	59863444.0	59855734.0	0.5488263430576585	2.0	-4.91	9.109999999999999e-07	3.0	247651.0	11.0	239941.0	11.0
Alzheimer	UKB	rs72924659	ENSG00000110077	MS4A6A	11	59939081.0	59952139.0	59952139.0	-0.2205583278544408	18.0	5.32	1.05e-07	2.0	151246.0	8.0	151246.0	8.0
Alzheimer	UKB	rs72924659	ENSG00000214787	MS4A4E	11	59968726.0	60010561.0	60010561.0	-0.1587343190250061	15.0	5.59	2.33e-08	1.0	92824.0	5.0	92824.0	5.0
Alzheimer	UKB	rs72924659	ENSG00000110079	MS4A4A	11	60048014.0	60076445.0	60048014.0	0.7451114094920718	1.0	4.41	1.01e-05	4.0	55371.0	4.0	26940.0	2.0
Alzheimer	UKB	rs72924659	ENSG00000166926	MS4A6E	11	60102304.0	60164069.0	60102304.0	-0.092429376605039	12.0	3.21	0.00134	5.0	1081.0	1.0	0.0	1.0
Alzheimer	UKB	rs72924659	ENSG00000166927	MS4A7	11	60145955.0	60163424.0	60145955.0	-0.10001713941163116	13.0	1.69	0.0903	9.0	42570.0	2.0	42570.0	3.0
Alzheimer	UKB	rs72924659	ENSG00000166928	MS4A14	11	60146003.0	60185161.0	60146003.0	-0.24370438927153165	19.0	1.02	0.307	10.0	42618.0	3.0	42618.0	4.0
